startdate,enddate,status,progress,durationinseconds,finished,recordeddate,responseid,externalreference,distributionchannel,userlanguage,prolific_pid,empstat
2023-02-05 14:46:44,2023-02-05 14:46:51,0,100,7,1,2023-02-05 14:46:52,R_2w48TXSAH1XHRbV,*******,anonymous,EN,ee70fc17727aee72f3c89073694e4af4ccb44b7199eb8ddb1c027248fd625184,1
2023-02-05 14:54:29,2023-02-05 14:54:54,0,100,25,1,2023-02-05 14:54:55,R_2t6kYZdoZtHfrEe,*******,anonymous,EN,9837745924d59a474ccd1b772111f322bf2bb74c5000a6ed82cddffe4bded3ba,1
2023-02-05 15:49:54,2023-02-05 15:50:10,0,100,16,1,2023-02-05 15:50:11,R_1HeQgvRta0F3F7a,*******,anonymous,EN,4901ea8aea81ae4af008201549d889f54b94cdbe04f5ff7e86a8bad2e3472217,4
2023-02-05 18:28:16,2023-02-05 18:28:22,0,100,5,1,2023-02-05 18:28:22,R_3sAZgWj1CNHq9sb,*******,anonymous,EN,556a9409f4843f88ef9adb632cdbb4ebe55b3ddff455a4fe2e57331a05406c61,1
2023-02-07 01:10:49,2023-02-07 01:10:57,0,100,8,1,2023-02-07 01:10:58,R_8ubIIH50cSso1Kp,*******,anonymous,EN,2e3cccb9130eda1c4d66d882760b9f08df64692a2b5e8256e5751e574e2e815c,1
2023-02-05 14:43:34,2023-02-05 14:43:43,0,100,9,1,2023-02-05 14:43:43,R_3fTUZ01qCMLNf13,*******,anonymous,EN,d6853437940b5c4c06c256e03c6fc1bf5da8213de06804bca6449ae08684c5d1,1
2023-02-06 14:00:55,2023-02-06 14:01:02,0,100,6,1,2023-02-06 14:01:05,R_1mkNYQgq5365YhS,*******,anonymous,EN,5a621866356b6e9d1811c1b433932bf305e1d0ed1fd553ba96fd19f19e66a19d,1
2023-02-07 16:54:53,2023-02-07 16:55:12,0,100,19,1,2023-02-07 16:55:13,R_qDtey39GE59ahUd,*******,anonymous,EN,f05ab811bc471ac851e4b650e9e77f6f5e0c8b224d36aabb66e61ce1dda668ac,1
2023-02-05 14:44:45,2023-02-05 14:44:58,0,100,12,1,2023-02-05 14:44:58,R_2RV1jkoAWIEsufm,*******,anonymous,EN,7d9ad1402d485eb51a8050dbe30f614c708b95606e25dc96ef7cfec95300694e,1
2023-02-05 15:33:56,2023-02-05 15:34:06,0,100,10,1,2023-02-05 15:34:07,R_3jVTwKD808Krr7S,*******,anonymous,EN,3b8d53d7f112e2ccaf379dcf068e49f0ee9f31fbe276b2287838430b89f9616e,2
2023-02-05 18:12:50,2023-02-05 18:12:54,0,100,4,1,2023-02-05 18:12:55,R_1mz96JMCuJWOMpq,*******,anonymous,EN,f79115ff8a96917c2f6c4ea8bf0903d2083ca7de422a6e283f9c369d048994f3,1
2023-02-05 17:34:45,2023-02-05 17:34:51,0,100,6,1,2023-02-05 17:34:51,R_1Qshk26BdFAs3C4,*******,anonymous,EN,3b198b8f993349a557467ea61c8dbdde2c30cec72ef60db7217eab430f2aad70,1
2023-02-05 15:40:36,2023-02-05 15:40:50,0,100,14,1,2023-02-05 15:40:51,R_UaonwEIwLGAAPBv,*******,anonymous,EN,4e90244629c4821d2219d28b3b77fb458c2d756315dd1cd1ae81f816c58d84f9,2
2023-02-05 17:48:02,2023-02-05 17:48:10,0,100,7,1,2023-02-05 17:48:10,R_3D8xcIzRnQGXII1,*******,anonymous,EN,40daadabdf5be50b4c46f099c941c2a28d6bbd46485c4acd8950e1f18ed33672,1
2023-02-05 19:10:34,2023-02-05 19:10:39,0,100,5,1,2023-02-05 19:10:40,R_5C3IAVkhE9BrBFD,*******,anonymous,EN,05e019e50b31016cb7dc9658a79967268b92c22c22e90076426f5955f4032ad1,2
2023-02-06 03:45:23,2023-02-06 03:46:14,0,100,50,1,2023-02-06 03:46:14,R_1DGrcU7Z0MBzYGB,*******,anonymous,EN,f0070d3932fc7423ad1bdd117aba899d8bfcb70a0c9d7179d1f5f75d6fd947dd,1
2023-02-05 14:43:09,2023-02-05 14:43:14,0,100,4,1,2023-02-05 14:43:14,R_3NIGoCzVcoGprLS,*******,anonymous,EN,14f821ea65a169a2dc581915481f9a5f153aa9168332b0b7b3aaf5b4ed7237d2,1
2023-02-05 22:04:29,2023-02-05 22:04:37,0,100,8,1,2023-02-05 22:04:38,R_1hEgxi4yg18X6RN,*******,anonymous,EN,bb54c60a5c9f6c5e89e8aa216643eef839e2394e4553fa953e28d4dabafb95ea,1
2023-02-05 21:29:40,2023-02-05 21:29:46,0,100,6,1,2023-02-05 21:29:46,R_2WImU0cGH2yBRnj,*******,anonymous,EN,e08c8e6137324ec15b373c6b0e43f8916ae352ef7cc15bd3019fcbc8b3917d81,3
2023-02-06 05:17:14,2023-02-06 05:17:27,0,100,12,1,2023-02-06 05:17:27,R_RaXtxTKNEZUUv5L,*******,anonymous,EN,49de82ca4184d86d999698d04ae0013ad3be11aa7d93f69e9082d31f3e34a6de,1
2023-02-06 10:24:21,2023-02-06 10:24:28,0,100,7,1,2023-02-06 10:24:29,R_3CZqycXc1z4PGM0,*******,anonymous,EN,032b58170d54328547de5805625e294a2465675d987c98ca2bdbe65292e44daa,2
2023-02-05 18:17:43,2023-02-05 18:17:54,0,100,11,1,2023-02-05 18:17:55,R_3EDYEkm8sa7khTS,*******,anonymous,EN,5c2006c538f9b2615b7938e5f74e65043407ac1f0d6ce635bf21dbc07a6ca497,1
2023-02-06 12:55:30,2023-02-06 12:55:40,0,100,10,1,2023-02-06 12:55:41,R_25LPb1sdBh7Skqe,*******,anonymous,EN,96f6cad1242d93b0745e511463c943e5b19d815dbb9518b23ed4504c38d30d09,2
2023-02-05 14:46:26,2023-02-05 14:46:31,0,100,4,1,2023-02-05 14:46:31,R_3IXXhqmw6xmjdbc,*******,anonymous,EN,528509929c35f518e79d40efb4d25a4e286a0e90af18cf2b178abd3cce283d18,1
2023-02-06 16:25:24,2023-02-06 16:25:33,0,100,8,1,2023-02-06 16:25:33,R_3D6CbcqcR3avZ75,*******,anonymous,EN,f450d27458bb2753640e4572ba93da1674a09072051f47a4b51a68332d37e3e8,3
2023-02-05 18:57:21,2023-02-05 18:57:25,0,100,4,1,2023-02-05 18:57:25,R_1FgjR7ftNYTIWPK,*******,anonymous,EN,f6cbf8237dca38f03689590ed8d9ce5b624a9042bba084b960aed3bbcd53a991,1
2023-02-05 14:44:52,2023-02-05 14:45:05,0,100,13,1,2023-02-05 14:45:06,R_3F28dqFCt7A32CJ,*******,anonymous,EN,371d0b916d4af60cf43d1ffd8ed84f964b55741e3688689df941dfdc8b2a00d1,1
2023-02-05 18:58:53,2023-02-05 18:59:03,0,100,9,1,2023-02-05 18:59:03,R_3e2dI132ezhNbDT,*******,anonymous,EN,af8d99854c0a60dcc1d0327330b554fa492bd8430c8def367b999ec5d551e1fd,1
2023-02-07 04:27:44,2023-02-07 04:27:53,0,100,9,1,2023-02-07 04:27:55,R_dikaxldxY6dEn3r,*******,anonymous,EN,05d021665788197cc66d5f7c3b6c6a4da1740e898e173b413da13dac7550d9b4,3
2023-02-05 20:15:26,2023-02-05 20:15:37,0,100,11,1,2023-02-05 20:15:38,R_3hcOfp5CpGJbhOx,*******,anonymous,EN,30f1fe6dc067affd8b49497a45e08e702de0276913958881f8aa712552b6fafa,3
2023-02-05 15:58:37,2023-02-05 15:58:43,0,100,6,1,2023-02-05 15:58:43,R_1IgGwCE9eQTM9dD,*******,anonymous,EN,ac195293249fbf91bf8535837ed359124516c5ed86ccb4097e9f57be2eefae55,2
2023-02-05 16:48:58,2023-02-05 16:49:04,0,100,5,1,2023-02-05 16:49:04,R_1CHZEQMKd8KexyC,*******,anonymous,EN,f1ef40954b04b81d75b476193ffb1c879c9f657a5332421a13e95ed36ae8196e,1
2023-02-06 19:13:01,2023-02-06 19:13:25,0,100,23,1,2023-02-06 19:13:25,R_1gLpERJF6Ux4vOU,*******,anonymous,EN,d946dc5f3714f580130d1fc8c37c508369cbfc12b054823cdeb5163601beb6ff,1
2023-02-05 22:21:15,2023-02-05 22:21:25,0,100,9,1,2023-02-05 22:21:25,R_XHydZrk2O3WlAsh,*******,anonymous,EN,e276c2b82eea13692d14a28cff3fa10c6a081c9e72e5a313e9853d7cdf622c4d,3
2023-02-06 13:13:27,2023-02-06 13:14:30,0,100,62,1,2023-02-06 13:14:30,R_bQ9tHmKSJ2t0k9P,*******,anonymous,EN,2a9ce3a2aa4e69b80baffe22840ce067df7f0522973eba0647e7aa2602acff9a,4
2023-02-05 14:44:00,2023-02-05 14:44:05,0,100,5,1,2023-02-05 14:44:06,R_zSSZBynZ9jIbLkB,*******,anonymous,EN,5f010025a6a64bd5ca93b493dcf7106bb485dbdba82367e3af21ffe3425dce14,1
2023-02-08 09:06:51,2023-02-08 09:07:01,0,100,9,1,2023-02-08 09:07:01,R_2Wu9uXmxZo5UlmX,*******,anonymous,EN,4cbaf6874ba442c3003cb8ef684d903629c7b80d174288e311df772111ce8169,3
2023-02-05 14:44:04,2023-02-05 14:44:15,0,100,11,1,2023-02-05 14:44:15,R_3nc4vK74mWeIDVy,*******,anonymous,EN,30ba3e56e786e0c050148bcf40a04c6981261a06c19fe1dfa7a017c9a9ea7449,1
2023-02-06 15:16:59,2023-02-06 15:17:07,0,100,8,1,2023-02-06 15:17:08,R_3lpkHT8v3sKSy4h,*******,anonymous,EN,430b51092109bf2d19a2ff429a291a72870dde67ab5e55096487e7b129d7258c,2
2023-02-05 20:01:14,2023-02-05 20:01:21,0,100,6,1,2023-02-05 20:01:22,R_3MoeZQWrWaxCLhk,*******,anonymous,EN,49b15cd5da76e7b049c8b1f3e721666bf7862e2e448f4919e9d45ded5826681d,1
2023-02-05 16:10:25,2023-02-05 16:10:39,0,100,13,1,2023-02-05 16:10:39,R_1QoK7E0NC2B2itv,*******,anonymous,EN,5877aaccba529f43e4df3adf9ed1cd6977e61a920d951c8c8688b9dfe714817d,1
2023-02-05 17:39:36,2023-02-05 17:39:42,0,100,5,1,2023-02-05 17:39:42,R_27e4m6uYxycXkrL,*******,anonymous,EN,20d58eff8101ac279ba9b59dada68cb8fcf91079522875d34e6f6a2a6c78b59d,1
2023-02-06 11:00:41,2023-02-06 11:01:00,0,100,19,1,2023-02-06 11:01:01,R_DrbM6RHuDW5RzZ7,*******,anonymous,EN,babcc378d2921ba67602a96ae264b9a59388884c1f28dc512134d85f72202b4f,1
2023-02-07 21:25:08,2023-02-07 21:25:14,0,100,6,1,2023-02-07 21:25:15,R_2fczYcgTXCphRPX,*******,anonymous,EN,d3453828230e10570666932b2c528d8f73ec585747442e2f609697e32a175704,1
2023-02-05 15:42:51,2023-02-05 15:42:59,0,100,8,1,2023-02-05 15:43:00,R_2wFABXuAbAdTZjs,*******,anonymous,EN,f0d77d428cfbce445fc713ba75614651b6cbf1fd494a23bdb4bcebec58c93db0,1
2023-02-06 03:33:30,2023-02-06 03:34:29,0,100,58,1,2023-02-06 03:34:29,R_3dGQApLo0N064ov,*******,anonymous,EN,e000de73983d30a25ac9613628f3c898cb1db322c516649c1c2b51008a5a7da7,1
2023-02-05 16:05:55,2023-02-05 16:06:02,0,100,7,1,2023-02-05 16:06:03,R_2eUunvql06OVb2g,*******,anonymous,EN,8c00b0e405eda3b9d3e24fd0029f051de81d045984d3048baf12903f6ea121bb,1
2023-02-05 15:32:49,2023-02-05 15:32:53,0,100,3,1,2023-02-05 15:32:54,R_7QFXzrnvCJ8nK6J,*******,anonymous,EN,4c4a070d3add9c77594823c9fc983cb58fc6478b75bb8edc08f40c14561fbb06,1
2023-02-05 17:55:09,2023-02-05 17:55:15,0,100,6,1,2023-02-05 17:55:16,R_2f7dhC3Ch7Dwp87,*******,anonymous,EN,f73f2cf5517d4f3ca157b0f2b317833fb30cb0df28316efd4966d4e5bde1efb9,3
2023-02-05 14:51:40,2023-02-05 14:51:51,0,100,10,1,2023-02-05 14:51:52,R_11dxZt5uy3dWQY5,*******,anonymous,EN,0c9ffd8d33e5c046413d5f9cb357715e5d58c1da16a9555ac990cdd54c923baf,4
2023-02-06 18:30:40,2023-02-06 18:31:05,0,100,25,1,2023-02-06 18:31:06,R_3dQDAVL1KgZyQJb,*******,anonymous,EN,cc7722a8b6b59946d2f2747a4ee03315c51f48747ff75377ae112b9fa0eed0e9,1
